id,name
1260,John Ronald Reuel Tolkien
1261,Terry Donaldson
1262,Alan Lee
1263,Sam Gamgee
1265,J.R.R. Tolkien
1267,J. R. R. Tolkien
1270,Stratford Caldecott
1272,Charlie Vigil
1273,Ronne Randall
1274,Colombia. Ministerio De Cultura
1275,Pablo Soler Frost
1276,A. K. Frailey
1277,Héctor Sevillano Pareja
1278,María José Álvarez Faedo
1279,Joseph Pearce
1280,Antonio Sánchez-Escalonilla
1282,Daniel Alcoba
1283,Ángel Cobo
1284,"Hernández-Santaolalla, Víctor"
1285,"Barrientos-Bueno, Mónica"
1286,David Colbert
1287,Peter Bart
1288,Ricardo Bedoya
1289,Michael D.C. Drout
1290,María Del Mar Gallardo Samper
1291,Isabel Romero Tabares
